,anomaly_index_end,anomaly_index_start,file_name,file_number,file_path,mnemonic,row_count,training_index_end,alpha,dataset,false_negatives,false_positives,method,precision_back,precision_flat,precision_front,precision_mid,recall_back,recall_flat,recall_front,recall_mid,total_anomalies,total_count,true_negatives,true_positives,condition
11,52620,52000,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,1,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,DISTORTED1sddb40,79795,35000,1.0,test_set,155.0,28822.0,sigma,0.009427870334495674,0.009427870334495674,0.009427870334495674,0.009427870334495674,0.009427870334495674,0.009427870334495674,0.009427870334495674,0.009427870334495674,29288.0,44795,15352.0,466.0,any
12,56900,56600,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,2,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,35000,0.5,all,0.0,79699.0,oneliner,0.502668943044462,0.50188125,0.501093556955538,0.5021870865728357,0.502668943044462,0.50188125,0.501093556955538,0.5021870865728357,80000.0,80001,1.0,301.0,
13,56900,56600,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,2,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,35000,0.5,test_set,0.0,44700.0,oneliner,0.503232747443274,0.5033443701251084,0.5034559928069428,0.506465351215269,0.503232747443274,0.5033443701251084,0.5034559928069428,0.506465351215269,45001.0,45001,0.0,301.0,
14,56900,56600,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,2,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,35000,1.0,all,0.0,79699.0,oneliner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80000.0,80001,1.0,301.0,
15,56900,56600,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,2,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,35000,1.0,test_set,0.0,44700.0,oneliner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45001.0,45001,0.0,301.0,
16,56900,56600,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,2,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,35000,0.5,all,173.0,52471.0,sigma,0.005127828220581418,0.005120290068107207,0.005112751915632998,0.0051167902116013245,0.005127828220581418,0.005120290068107207,0.005112751915632998,0.0051167902116013245,52599.0,80001,27229.0,128.0,all
17,56900,56600,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,2,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,35000,0.5,test_set,173.0,29139.0,sigma,0.009043322199511442,0.009030028083819398,0.009016733968127359,0.009023855815819524,0.009043322199511442,0.009030028083819398,0.009016733968127359,0.009023855815819524,29267.0,45001,15561.0,128.0,all
18,56900,56600,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,2,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,35000,1.0,all,173.0,52471.0,sigma,0.005144789063648391,0.005144789063648391,0.005144789063648391,0.005144789063648391,0.005144789063648391,0.005144789063648391,0.005144789063648391,0.005144789063648391,52599.0,80001,27229.0,128.0,all
19,56900,56600,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,2,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,35000,1.0,test_set,173.0,29139.0,sigma,0.009073233959818535,0.009073233959818535,0.009073233959818535,0.009073233959818535,0.009073233959818535,0.009073233959818535,0.009073233959818535,0.009073233959818535,29267.0,45001,15561.0,128.0,all
20,56900,56600,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,2,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,35000,0.5,all,173.0,52471.0,sigma,0.005127828220581418,0.005120290068107207,0.005112751915632998,0.0051167902116013245,0.005127828220581418,0.005120290068107207,0.005112751915632998,0.0051167902116013245,52599.0,80001,27229.0,128.0,any
